year,rcp,had,had_025,had_975,cw,cw_1sigma,giss,trf,volc,solar,anthro,ghg,co2ch4n2o,fgassum,mhalosum,aerosols,other,soi,amo,had_full,cw_full,giss_full,volc_mean,soi_mean,amo_mean
1890,rcp45,-0.115733333333333,-0.256733333333333,0.0162666666666667,-0.157733333333333,0.049,-0.166733333333333,0.20816783,-0.3316537,-0.04025875,0.24842658,0.42698525,0.4266687,0,0.00031655,-0.080852025,-0.097706645,0.966666666666667,-0.14475,-0.115733333333333,-0.157733333333333,-0.166733333333333,-0.3316537,0.966666666666667,-0.14475
1891,rcp45,-0.0347333333333333,-0.178733333333333,0.102266666666667,-0.0737333333333333,0.049,-0.0367333333333333,0.23357291,-0.2617412,-0.01243375,0.24600666,0.43128557,0.43095498,0,0.00033059,-0.084851577,-0.100427338,-0.45,0.0344166666666667,-0.0347333333333333,-0.0737333333333333,-0.0367333333333333,-0.2617412,-0.45,0.0344166666666667
1892,rcp45,-0.153733333333333,-0.300733333333333,-0.0157333333333333,-0.166733333333333,0.049,-0.0667333333333333,0.259100135,-0.087645365,0.01336125,0.24573889,0.43571861,0.43537339,0,0.000345215,-0.086927081,-0.103052632,0.583333333333333,-0.0918333333333333,-0.153733333333333,-0.166733333333333,-0.0667333333333333,-0.087645365,0.583333333333333,-0.0918333333333333
1893,rcp45,-0.170733333333333,-0.313733333333333,-0.0327333333333333,-0.137733333333333,0.05,-0.0967333333333333,0.280305303,0.060061927,0.034181875,0.24612343,0.43947523,0.43911467,0,0.000360555,-0.087720163,-0.105631635,1.46666666666667,-0.00583333333333333,-0.170733333333333,-0.137733333333333,-0.0967333333333333,0.060061927,1.46666666666667,-0.00583333333333333
1894,rcp45,-0.102733333333333,-0.248733333333333,0.0322666666666667,-0.105733333333333,0.05,-0.106733333333333,0.28916082,0.16938589,0.04360125,0.24555958,0.44255621,0.4421796,0,0.00037661,-0.087980233,-0.109016401,0.45,-0.244166666666667,-0.102733333333333,-0.105733333333333,-0.106733333333333,0.16938589,0.45,-0.244166666666667
1895,rcp45,-0.0897333333333333,-0.230733333333333,0.0442666666666667,-0.0787333333333333,0.048,-0.0167333333333333,0.27311987,0.1618463,0.02968,0.24343987,0.44577046,0.44537714,0,0.000393315,-0.088638152,-0.113692433,-0.475,-0.0950833333333333,-0.0897333333333333,-0.0787333333333333,-0.0167333333333333,0.1618463,-0.475,-0.0950833333333333
1896,rcp45,0.114266666666667,-0.0257333333333333,0.251266666666667,0.0842666666666667,0.048,0.0532666666666667,0.246371061,0.016537969,0.0023975,0.24397357,0.44911767,0.44870693,0,0.000410735,-0.088615369,-0.11652873,-1.49166666666667,0.106166666666667,0.114266666666667,0.0842666666666667,0.0532666666666667,0.016537969,-1.49166666666667,0.106166666666667
1897,rcp45,0.0922666666666667,-0.0487333333333333,0.228266666666667,0.0742666666666667,0.048,0.0932666666666667,0.227849966,-0.064683906,-0.01924125,0.24709122,0.45286711,0.45243811,0,0.000429,-0.08726204,-0.118513849,-1.025,0.109333333333333,0.0922666666666667,0.0742666666666667,0.0932666666666667,-0.064683906,-1.025,0.109333333333333
1898,rcp45,-0.112733333333333,-0.250733333333333,0.0232666666666667,-0.152733333333333,0.048,-0.0767333333333333,0.220913445,0.037785885,-0.029859375,0.25077282,0.45797425,0.4575262,0,0.000448045,-0.08583238,-0.121369043,0.925,0.0736666666666667,-0.112733333333333,-0.152733333333333,-0.0767333333333333,0.037785885,0.925,0.0736666666666667
1899,rcp45,0.0122666666666667,-0.125733333333333,0.147266666666667,0.0032666666666667,0.047,0.0432666666666667,0.21745341,0.15053693,-0.036728125,0.25418154,0.46448618,0.46401825,0,0.000467935,-0.08578526,-0.124519384,0.333333333333333,0.126916666666667,0.0122666666666667,0.0032666666666667,0.0432666666666667,0.15053693,0.333333333333333,0.126916666666667
